"Nombre Operador","Cédula","Código Ruta","Descripción Ruta","Código Ramal","Descripción Ramal","Mes","Año","pasajeroEquivalente","pasajerosTotal","Pasajeros Adulto Mayor","Pasajeros Regulares","Carreras","Ingresos"
"AUTOTRANSPORTES CARIBEÑOS S.A.","3-101-028668","703","SAN JOSE-LIMON (SERVICIO REGULAR Y DIRECTO)","R1755","SAN JOSE-LIMON","1","2021","","","1095","30104","696","106869200"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1606","SAN VITO-LAS MELLIZAS","1","2021","","","1063","3840","124","1439350"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1608","SAN VITO-CIUDAD NEILY","1","2021","","","2014","7270","151","3258450"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1610","SABALITO-CIUDAD NEILY","1","2021","","","477","1725","62","1072500"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1611","SAN VITO-LOS PLANES","1","2021","","","447","1610","52","836220"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R1612","SAN VITO-LA MARAVILLA","1","2021","","","385","1381","31","538480"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","636","SAN VITO – COPA BUENA – LA MARAVILLA – VILLA ROMA – LAS MELLIZAS – LINDA VISTA – CIUDAD NEILY Y VICEVERSA","R2096","SAN VITO - AGUA BUENA","1","2021","","","","","",""
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","660","SAN VITO-PIEDRA PINTADA-EL CEIBO Y VICEVERSA","R1637","SAN VITO-PIEDRA PINTADA","1","2021","","","796","2876","156.5","1193065"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","671","SAN VITO-EL ROBLE-FILA PINAR-FILA GUINEA-SANTA ELENA-FILA TIGRE Y VICEVERSA","R1640","SAN VITO-FILA TIGRE","1","2021","","","384","1384","31","767445"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","671","SAN VITO-EL ROBLE-FILA PINAR-FILA GUINEA-SANTA ELENA-FILA TIGRE Y VICEVERSA","R1642","SAN VITO-SANTA ELENA","1","2021","","","431","1555","31","807505"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","671","SAN VITO-EL ROBLE-FILA PINAR-FILA GUINEA-SANTA ELENA-FILA TIGRE Y VICEVERSA","R1643","SAN VITO-El ROBLE","1","2021","","","267","964","31","548880"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","671","SAN VITO-EL ROBLE-FILA PINAR-FILA GUINEA-SANTA ELENA-FILA TIGRE Y VICEVERSA","R2097","SAN VITO-FILA GUINEA ","1","2021","","","120","430","15","174715"
"AUTOTRANSPORTES CEPUL, S.A.","3-101-073305","671","SAN VITO-EL ROBLE-FILA PINAR-FILA GUINEA-SANTA ELENA-FILA TIGRE Y VICEVERSA","R2098","SAN VITO-FILA PINAR","1","2021","","","126","450","16","322665"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","08","SAN JOSE-RUTA PERIFERICA","R0022","SAN JOSE-RUTA PERIFERICA (LADO 1)","1","2021","","","566","4140","123","1469700"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","08","SAN JOSE-RUTA PERIFERICA","R2290","SAN JOSE-RUTA PERIFERICA (LADO 2)","1","2021","","","551","3622","114.5","1285810"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0156","SAN JOSE-SAN PEDRO-SAN RAFAEL-SALITRILLOS-(EXT. KA","1","2021","","","5076","68104","1913.5","27922640"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0158","SAN JOSE-SAN PEDRO-CEDRAL-URBANIZACION EUROPA","1","2021","","","4","996","19","408360"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0160","SAN JOSE-SAN PEDRO-GRANADILLA","1","2021","","","9846","126781","2967","51980210"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0161","SAN JOSE-CIPRESES","1","2021","","","145","1069","118.5","438290"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0162","SAN JOSE-SAN RAMON DE TRES RIOS-VILLA HERMOSA","1","2021","","","7459","93321","1997.5","38261610"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0163","SAN JOSE-URBANIZACION LAS MANSIONES-CLUB LA CAMPIÑ","1","2021","","","482","5421","187.5","2222610"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0164","SAN JOSE-SABANILLA","1","2021","","","5106","63665","1984","26102650"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","50","SAN JOSE-SAN PEDRO-RAMALES","R0165","SAN JOSE-CURRIDABAT POR SAN PEDRO","1","2021","","","101","964","102","395240"
"AUTOTRANSPORTES CESMAG, S.A.","3-101-065720","I-1","DESAMPARADOS-MORAVIA","R0002","DESAMPARADOS-MORAVIA","1","2021","","","746","11023","196","4023395"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R1436","UPALA-SAN JOSÉ DE UPALA-SANTA CECILIA Y RAMALES","1","2021","","","522","15206","155","13001130"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2079","CUATRO BOCAS-EL PORVENIR","1","2021","","","","487","43.5","749980"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2080","UPALA-EL DELIRIO Y VICEVERSA","1","2021","","","89","2231","58","2956075"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2081","UPALA-CUATRO BOCAS-EL PORVENIR-AGUAS CLARAS ","1","2021","","","28","774","44.5","855270"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2082","UPALA-JOMUZA Y VICEVERSA","1","2021","","","36","1194","31","1444740"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2083","UPALA-LA VICTORIA Y VICEVERSA","1","2021","","","90","1868","62","1952060"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2084","UPALA-SANTA CECILIA Y VICEVERSA","1","2021","","","4","471","29","675885"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","514","LA CRUZ- STA CECILIA-BRASILIA   EXT UPALA STA ELENA","R2085","URBANO DE UPALA ","1","2021","","","65","2144","196","600320"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","526","LIBERIA-QUEDRADA GRANDE-DOS RÍOS DE UPALA-BUENOS AIRES-BRASILIA Y VICEVERSA","R1430","LIBERIA-BRASILIA","1","2021","","","64","1945","31","4133125"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","526","LIBERIA-QUEDRADA GRANDE-DOS RÍOS DE UPALA-BUENOS AIRES-BRASILIA Y VICEVERSA","R1431","LIBERIA-BUENOS AIRES","1","2021","","","59","1110","31","1959150"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","526","LIBERIA-QUEDRADA GRANDE-DOS RÍOS DE UPALA-BUENOS AIRES-BRASILIA Y VICEVERSA","R1433","LIBERIA-QUEBRADA GRANDE","1","2021","","","124","3754","93","3547530"
"AUTOTRANSPORTES CHAVARRIA MEZA, S.A.","3-101-268239","566","UPALA-DOS RÍOS DE UPALA Y VICEVERSA","R2133","UPALA-DOS RÍOS DE UPALA Y VICEVERSA","1","2021","","","36","1232","31","2624160"
"AUTOTRANSPORTES COLORADO DE ABANGARES, S.A. ","3-101-095707","504","LAS JUNTAS DE ABANGARES-CAÑAS","R1366","SAN JOSE-LAS JUNTAS DE ABANGARES","1","2021","","","87","1677","43.5","3431960"
"AUTOTRANSPORTES COLORADO DE ABANGARES, S.A. ","3-101-095707","504","LAS JUNTAS DE ABANGARES-CAÑAS","R1367","LAS JUNTAS-CAÑAS","1","2021","","","147","4400","100.5","3280200"
"AUTOTRANSPORTES COLORADO DE ABANGARES, S.A. ","3-101-095707","504","LAS JUNTAS DE ABANGARES-CAÑAS","R1369","LAS JUNTAS DE ABANGARES-LA IRMA-COLORADO.","1","2021","","","158","4090","93","4246830"
"AUTOTRANSPORTES COLORADO DE ABANGARES, S.A. ","3-101-095707","504","LAS JUNTAS DE ABANGARES-CAÑAS","R1371","LAS JUNTAS-POROZAL-FERRY","1","2021","","","","217","31","202895"
"AUTOTRANSPORTES COLORADO DE ABANGARES, S.A. ","3-101-095707","504","LAS JUNTAS DE ABANGARES-CAÑAS","R1533","LAS JUNTAS -LIBERIA","1","2021","","","25","463","31","1226950"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1573","PUNTARENAS-BARRANCA-EL INVU","1","2021","","","8300","39021","870","15608400"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1574","PUNTARENAS-PLAYON","1","2021","","","2459","11280","651","4624800"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1577","PUNTARENAS-JUANITO MORA","1","2021","","","283","1298","58","532180"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1579","PUNTARENAS-BARRANCA-CARMEN LYRA","1","2021","","","1240","5240","170.5","2331800"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1580","PUNTARENAS-BARRANCA-SAN MIGUEL","1","2021","","","2552","11162","259","4799660"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R1986","PUNTARENAS-BARRANCA-SAN MIGUELITO","1","2021","","","901","3942","145","1695060"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","620","PUNTARENAS – BARRANCA – PLAYON – LOS ALMENDROS – RIOJALANDIA – EL PROGRESO – JUANITO MORA – CARMEN LYRA – EL INVU DE BARRANCA – SAN MIGUEL – SAN MIGUELITO Y VICEVERSA","R2298","PUNTARENAS-MANUEL MORA","1","2021","","","3520","16147","606","6620270"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","626","PUNTARENAS-MIRAMAR (SERVICIO DIRECTO)","R1588","PUNTARENAS-MIRAMAR POR BARRANCA","1","2021","","","3145","28697","549","20231385"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","626","PUNTARENAS-MIRAMAR (SERVICIO DIRECTO)","R2117","PUNTARENAS-MIRAMAR POR COSTANERA","1","2021","","","1769","4948","105","3414120"
"AUTOTRANSPORTES CUATRO POR TRES, S.A.","3-101-072757","627","MIRAMAR-CUATRO CRUCES-CIRUELAS-EL PALMAR","R1590","MIRAMAR-CUATRO CRUCES-CIRUELAS-EL PALMAR (anillo)","1","2021","","","382","2261","42","893095"
"AUTOTRANSPORTES DESAMPARADOS, S.A.","3-101-008737","1001","DESAMPARADOS – CALLE FALLAS – SAN RAFAEL ABAJO – SAN JUAN Y VICEVERSA","R2283","DESAMPARADOS – CALLE FALLAS – SAN RAFAEL ABAJO – SAN JUAN Y VICEVERSA","1","2021","","","604","3812","136.5","648040"
"AUTOTRANSPORTES DESAMPARADOS, S.A.","3-101-008737","70","SAN JOSE-DESAMPARADOS - ASERRÍ Y RAMALES","R0214","SAN JOSE-DESAMPARADOS-SAN RAFAEL","1","2021","","","9347","115517","1844.5","35232685"
"AUTOTRANSPORTES DESAMPARADOS, S.A.","3-101-008737","70","SAN JOSE-DESAMPARADOS - ASERRÍ Y RAMALES","R0215","SAN JOSE-DESAMPARADOS-MONTE CLARO Y VICEVERSA","1","2021","","","1278","13389","420.5","4083645"
"AUTOTRANSPORTES DESAMPARADOS, S.A.","3-101-008737","70","SAN JOSE-DESAMPARADOS - ASERRÍ Y RAMALES","R0216","SAN JOSE-DESAMPARADOS-LOMA LINDA","1","2021","","","186","4398","120","1341390"
